t_ms,mode,phase,elapsed_s,target_c,measured_c,sensor_valid,error_c,p_term,i_term,d_term,pid_raw_pct,hard_cutoff,requested_heater_pct,applied_heater_pct,target_fan_pct,real_fan_pct,kp,ki,kd,protector_open,protector_trips,protector_ceiling_c
147195,MANUAL,IDLE,0,170.0,171.8,1,-1.80,-1.54,99.92,-14.54,83.84,0,84,84,100,100,0.8576,0.0307,14.9737,0,0,0.0
148195,MANUAL,IDLE,0,170.0,172.5,1,-2.53,-2.17,99.84,-13.33,84.34,0,84,84,100,100,0.8576,0.0307,14.9737,0,0,0.0
149195,MANUAL,IDLE,0,170.0,173.5,1,-3.47,-2.97,99.73,-13.59,83.17,0,83,83,100,100,0.8576,0.0307,14.9737,0,0,0.0
150195,MANUAL,IDLE,0,170.0,174.4,1,-4.42,-3.79,99.60,-13.81,82.00,0,82,82,100,100,0.8576,0.0307,14.9737,0,0,0.0
151195,MANUAL,IDLE,0,170.0,175.2,1,-5.24,-4.49,99.44,-13.28,81.66,0,82,82,100,100,0.8576,0.0307,14.9737,0,0,0.0
152195,MANUAL,IDLE,0,170.0,175.9,1,-5.85,-5.02,99.26,-11.93,82.31,0,82,82,100,100,0.8576,0.0307,14.9737,0,0,0.0
153195,MANUAL,IDLE,0,170.0,176.7,1,-6.68,-5.73,99.05,-12.10,81.22,0,81,81,100,100,0.8576,0.0307,14.9737,0,0,0.0
154195,MANUAL,IDLE,0,170.0,177.4,1,-7.45,-6.39,98.82,-11.88,80.56,0,81,81,100,100,0.8576,0.0307,14.9737,0,0,0.0
155195,MANUAL,IDLE,0,170.0,178.3,1,-8.25,0.00,0.00,0.00,0.00,1,0,0,100,100,0.8576,0.0307,14.9737,0,0,0.0
156195,MANUAL,IDLE,0,170.0,178.9,1,-8.86,0.00,0.00,0.00,0.00,1,0,0,100,100,0.8576,0.0307,14.9737,0,0,0.0
157195,MANUAL,IDLE,0,170.0,179.6,1,-9.59,0.00,0.00,0.00,0.00,1,0,0,100,100,0.8576,0.0307,14.9737,0,0,0.0
158195,MANUAL,IDLE,0,170.0,180.0,1,-10.04,0.00,0.00,0.00,0.00,1,0,0,100,100,0.8576,0.0307,14.9737,0,0,0.0
159195,MANUAL,IDLE,0,170.0,180.5,1,-10.51,0.00,0.00,0.00,0.00,1,0,0,100,100,0.8576,0.0307,14.9737,0,0,0.0
160195,MANUAL,IDLE,0,170.0,180.8,1,-10.75,0.00,0.00,0.00,0.00,1,0,0,100,100,0.8576,0.0307,14.9737,0,0,0.0
161195,MANUAL,IDLE,0,170.0,181.1,1,-11.06,0.00,0.00,0.00,0.00,1,0,0,100,100,0.8576,0.0307,14.9737,0,0,0.0
162195,MANUAL,IDLE,0,170.0,181.1,1,-11.13,0.00,0.00,0.00,0.00,1,0,0,100,100,0.8576,0.0307,14.9737,0,0,0.0
163195,MANUAL,IDLE,0,170.0,180.8,1,-10.79,0.00,0.00,0.00,0.00,1,0,0,100,100,0.8576,0.0307,14.9737,0,0,0.0
164195,MANUAL,IDLE,0,170.0,180.1,1,-10.09,0.00,0.00,0.00,0.00,1,0,0,100,100,0.8576,0.0307,14.9737,0,0,0.0
165195,MANUAL,IDLE,0,170.0,179.3,1,-9.25,0.00,0.00,0.00,0.00,1,0,0,100,100,0.8576,0.0307,14.9737,0,0,0.0
166195,MANUAL,IDLE,0,170.0,178.0,1,-8.02,0.00,0.00,0.00,0.00,1,0,0,100,100,0.8576,0.0307,14.9737,0,0,0.0
